sample_id,genus,abundance
SRR5935893,Nitratidesulfovibrio,23
SRR5935893,Finegoldia,22
SRR5935893,Acinetobacter,19
SRR5935893,Berryella,19
SRR5935893,Nanosynbacter,17
SRR5935893,Actinotignum,16
SRR5935893,Ezakiella,16
SRR5935893,Pahexavirus,14
SRR5935893,Turicibacter,14
SRR5935893,Capra,13
SRR5935893,Delmidovirus,13
SRR5935893,Pyramidobacter,13
SRR5935893,Sus,12
SRR5935893,Mageeibacillus,11
SRR5935893,Romboutsia,11
SRR5935893,Terrisporobacter,11
SRR5935893,Anaeropeptidivorans,10
SRR5935893,Ligilactobacillus,10
SRR5935893,Moraxella,10
SRR5935893_probiotic,Akkermansia,1896096
SRR5935893_probiotic,Bacteroides,1805962
SRR5935893_probiotic,Alistipes,1778909
SRR5935893_probiotic,Lactobacillus,837463
SRR5935893_probiotic,Phocaeicola,832101
SRR5935893_probiotic,Parabacteroides,763762
SRR5935893_probiotic,Faecalibacterium,414216
SRR5935893_probiotic,Hungatella,101568
SRR5935893_probiotic,Enterocloster,90203
SRR5935893_probiotic,Odoribacter,88387
SRR5935893_probiotic,Dorea,76253
SRR5935893_probiotic,Roseburia,62584
SRR5935893_probiotic,Intestinimonas,61761
SRR5935893_probiotic,Anaerostipes,55061
SRR5935893_probiotic,Ruthenibacterium,43596
SRR5935893_probiotic,Carjivirus,35638
SRR5935893_probiotic,Oscillibacter,35258
SRR5935893_probiotic,Dysosmobacter,28828
SRR5935893_probiotic,Blautia,22138
SRR5935893_probiotic,Segatella,17738
SRR5935893_probiotic,Vescimonas,17671
SRR5935893_probiotic,Emergencia,17194
SRR5935893_probiotic,Simiaoa,15734
SRR5935893_probiotic,Pusillibacter,13460
SRR5935893_probiotic,Monoglobus,11377
SRR5935893_probiotic,Anaerotruncus,10893
SRR5935893_probiotic,Flavonifractor,10832
SRR5935893_probiotic,Escherichia,10614
SRR5935893_probiotic,Mediterraneibacter,6827
SRR5935893_probiotic,Bifidobacterium,6381
SRR5935893_probiotic,Eubacterium,3954
SRR5935893_probiotic,Lachnospira,3186
SRR5935893_probiotic,Cutibacterium,3165
SRR5935893_probiotic,Agathobacter,2851
SRR5935893_probiotic,Lachnoclostridium,2086
SRR5935893_probiotic,Collinsella,1948
SRR5935893_probiotic,Enterococcus,1663
SRR5935893_probiotic,Butyricimonas,1551
SRR5935893_probiotic,Thomasclavelia,1442
SRR5935893_probiotic,Lawsonibacter,1387
SRR5935893_probiotic,Clostridium,1153
SRR5935893_probiotic,Ruminococcus,1142
SRR5935893_probiotic,Desulfovibrio,1016
SRR5935893_probiotic,Cruoricaptor,1009
SRR5935893_probiotic,Intestinibacillus,910
SRR5935893_probiotic,Wansuia,885
SRR5935893_probiotic,Clostridioides,869
SRR5935893_probiotic,Faecalibacillus,833
SRR5935893_probiotic,Streptococcus,684
SRR5935893_probiotic,Subdoligranulum,671
SRR5935893_probiotic,Gordonibacter,668
SRR5935893_probiotic,Coprococcus,661
SRR5935893_probiotic,Anaerobutyricum,576
SRR5935893_probiotic,Solibaculum,556
SRR5935893_probiotic,Turicimonas,551
SRR5935893_probiotic,Eggerthella,431
SRR5935893_probiotic,Duncaniella,385
SRR5935893_probiotic,Agathobaculum,370
SRR5935893_probiotic,Corynebacterium,359
SRR5935893_probiotic,Prevotella,353
SRR5935893_probiotic,Barnesiella,351
SRR5935893_probiotic,Porphyromonas,344
SRR5935893_probiotic,Veillonella,275
SRR5935893_probiotic,Homo,265
SRR5935893_probiotic,Megamonas,265
SRR5935893_probiotic,Butyrivibrio,229
SRR5935893_probiotic,Marvinbryantia,223
SRR5935893_probiotic,Acutalibacter,219
SRR5935893_probiotic,Campylobacter,215
SRR5935893_probiotic,Flintibacter,207
SRR5935893_probiotic,Schaalia,194
SRR5935893_probiotic,Amedibacterium,188
SRR5935893_probiotic,Hoylesella,188
SRR5935893_probiotic,Dialister,181
SRR5935893_probiotic,Rothia,180
SRR5935893_probiotic,Actinomyces,171
SRR5935893_probiotic,Haemophilus,157
SRR5935893_probiotic,Maliibacterium,140
SRR5935893_probiotic,Cloacibacillus,131
SRR5935893_probiotic,Massilistercora,115
SRR5935893_probiotic,Pseudomonas,97
SRR5935893_probiotic,Intestinibaculum,94
SRR5935893_probiotic,Triticum,94
SRR5935893_probiotic,Staphylococcus,90
SRR5935893_probiotic,Oengusvirus,87
SRR5935893_probiotic,Chryseobacterium,83
SRR5935893_probiotic,Sutterella,75
SRR5935893_probiotic,Selenomonas,70
SRR5935893_probiotic,Sellimonas,70
SRR5935893_probiotic,Dermacoccus,60
SRR5935893_probiotic,Hibiscus,60
SRR5935893_probiotic,Klebsiella,59
SRR5935893_probiotic,Komagataeibacter,57
SRR5935893_probiotic,Coprobacter,56
SRR5935893_probiotic,Treponema,55
SRR5935893_probiotic,Longicatena,54
SRR5935893_probiotic,Qiania,53
SRR5935893_probiotic,Fusobacterium,51
SRR5935893_probiotic,Allocoprobacillus,50
SRR5935893_probiotic,Sodaliphilus,50
SRR5935893_probiotic,Claveliimonas,46
SRR5935893_probiotic,Phascolarctobacterium,43
SRR5935893_probiotic,Taranisvirus,42
SRR5935893_probiotic,Novisyntrophococcus,36
SRR5935893_probiotic,Micrococcus,33
SRR5935893_probiotic,Christensenella,32
SRR5935893_probiotic,Ceduovirus,30
SRR5935893_probiotic,Paraprevotella,29
SRR5935893_probiotic,Lacrimispora,28
SRR5935893_probiotic,Fenollaria,27
SRR5935893_probiotic,Wujia,26
SRR5935893_probiotic,Chordicoccus,25
SRR5935893_probiotic,Nitratidesulfovibrio,23
SRR5935893_probiotic,Finegoldia,22
SRR5935893_probiotic,Acinetobacter,19
SRR5935893_probiotic,Berryella,19
SRR5935893_probiotic,Nanosynbacter,17
SRR5935893_probiotic,Actinotignum,16
SRR5935893_probiotic,Ezakiella,16
SRR5935893_probiotic,Pahexavirus,14
SRR5935893_probiotic,Turicibacter,14
SRR5935893_probiotic,Capra,13
SRR5935893_probiotic,Delmidovirus,13
SRR5935893_probiotic,Pyramidobacter,13
SRR5935893_probiotic,Sus,12
SRR5935893_probiotic,Mageeibacillus,11
SRR5935893_probiotic,Romboutsia,11
SRR5935893_probiotic,Terrisporobacter,11
SRR5935893_probiotic,Anaeropeptidivorans,10
SRR5935893_probiotic,Ligilactobacillus,10
SRR5935893_probiotic,Moraxella,10
